Code,Site,Trap,Position,Distance,Quality,Sky
DSC05017,WWT1,6,N,5,,clear
DSC05018,WWT1,6,E,2.5,,clear
DSC05019,WWT1,6,E,5,,clear
DSC05020,WWT1,6,S,2.5,,clear
DSC05021,WWT1,6,S,5,,clear
DSC05022,WWT1,6,W,2.5,,clear
DSC05023,WWT1,6,W,5,,clear
DSC05024,WWT1,5,C,0,,clear
DSC05025,blank,blank,blank,blank,,clear
DSC05026,WWT1,5,N,2.5,,clear
DSC05027,WWT1,5,N,5,,clear
DSC05028,WWT1,5,E,2.5,,clear
DSC05029,WWT1,5,E,5,,clear
DSC05030,WWT1,5,S,2.5,,clear
DSC05031,WWT1,5,S,5,,clear
DSC05032,WWT1,5,W,2.5,,clear
DSC05033,WWT1,5,W,5,,clear
DSC05034,WWT1,7,C,0,,clear
DSC05035,blank,blank,blank,blank,,clear
DSC05036,WWT1,7,N,2.5,,clear
DSC05037,WWT1,7,N,5,,clear
DSC05038,WWT1,7,E,2.5,,clear
DSC05039,WWT1,7,E,5,,clear
DSC05040,WWT1,7,S,2.5,,clear
DSC05041,WWT1,7,S,5,,clear
DSC05042,WWT1,7,W,2.5,,clear
DSC05043,WWT1,7,W,5,,clear
DSC05044,blank,blank,blank,blank,,clear
DSC05045,WWT1,8,C,0,,clear
DSC05046,WWT1,8,N,2.5,,clear
DSC05047,WWT1,8,N,5,,clear
DSC05048,WWT1,8,E,2.5,,clear
DSC05049,WWT1,8,E,5,,clear
DSC05050,WWT1,8,S,2.5,,clear
DSC05051,WWT1,8,S,5,,clear
DSC05052,WWT1,8,W,2.5,,clear
DSC05053,WWT1,8,W,5,,clear
DSC05054,WWT1,9,C,0,,clear
DSC05055,WWT1,9,N,2.5,,clear
DSC05056,WWT1,9,N,5,,clear
DSC05057,WWT1,9,E,2.5,,clear
DSC05058,WWT1,9,E,5,,clear
DSC05059,WWT1,9,S,2.5,,clear
DSC05060,WWT1,9,S,5,,clear
DSC05061,WWT1,9,W,2.5,,clear
DSC05062,WWT1,9,W,5,,clear
DSC05063,blank,blank,blank,blank,,clear
DSC05064,FRS,2,C,0,,clear
DSC05065,FRS,2,N,2.5,,clear
DSC05066,FRS,2,N,5,,clear
DSC05067,FRS,2,E,2.5,,clear
DSC05068,FRS,2,E,5,,clear
DSC05069,FRS,2,S,2.5,,clear
DSC05070,FRS,2,S,5,,clear
DSC05071,FRS,2,W,2.5,,clear
DSC05072,FRS,2,W,5,,clear
DSC05073,blank,blank,blank,blank,,clear
DSC05074,FRS,1,C,0,,clear
DSC05075,FRS,1,N,2.5,,clear
DSC05076,FRS,1,N,5,,clear
DSC05077,FRS,1,E,2.5,,clear
DSC05078,FRS,1,E,5,,clear
DSC05079,FRS,1,S,2.5,,clear
DSC05080,FRS,1,S,5,,clear
DSC05081,FRS,1,W,2.5,,clear
DSC05082,FRS,1,W,5,,clear
DSC05083,blank,blank,blank,blank,,clear
DSC05084,FRS,3,C,0,,clear
DSC05085,FRS,3,N,2.5,,clear
DSC05086,FRS,3,N,5,,clear
DSC05087,FRS,3,E,2.5,,clear
DSC05088,FRS,3,E,5,,clear
DSC05089,FRS,3,S,2.5,,clear
DSC05090,FRS,3,S,5,,clear
DSC05091,FRS,3,W,2.5,,clear
DSC05092,FRS,3,W,5,,clear
DSC05093,blank,blank,blank,blank,,clear
DSC05094,FRS,6,C,0,,clear
DSC05095,FRS,6,N,2.5,,clear
DSC05096,FRS,6,N,5,,clear
DSC05097,FRS,6,E,2.5,,clear
DSC05098,FRS,6,E,5,,clear
DSC05099,FRS,6,S,2.5,,clear
DSC05100,FRS,6,S,5,,clear
DSC05101,blank,blank,blank,blank,,clear
DSC05102,FRS,6,W,2.5,,clear
DSC05103,FRS,6,W,5,,clear
DSC05104,blank,blank,blank,blank,,clear
DSC05105,blank,blank,blank,blank,,clear
DSC05106,FRS,4,C,0,,clear
DSC05107,FRS,4,N,2.5,,clear
DSC05108,FRS,4,N,5,,clear
DSC05109,FRS,4,E,2.5,,clear
DSC05110,FRS,4,E,5,,clear
DSC05111,FRS,4,S,2.5,,clear
DSC05112,FRS,4,S,5,,clear
DSC05113,FRS,4,W,2.5,,clear
DSC05114,FRS,4,W,5,,clear
DSC05115,blank,blank,blank,blank,,clear
DSC05116,FRS,5,C,0,,clear
DSC05117,FRS,5,N,2.5,,clear
DSC05118,FRS,5,N,5,,clear
DSC05119,FRS,5,E,2.5,,clear
DSC05120,FRS,5,E,5,,clear
DSC05121,FRS,5,S,2.5,,clear
DSC05122,FRS,5,S,5,,clear
DSC05123,FRS,5,W,2.5,,clear
DSC05124,FRS,5,W,5,,clear
DSC05125,blank,blank,blank,blank,,clear
DSC05126,CS,1,C,0,,clear
DSC05127,CS,1,N,2.5,,clear
DSC05128,CS,1,N,5,,clear
DSC05129,CS,1,E,2.5,,clear
DSC05130,CS,1,E,5,,clear
DSC05131,CS,1,S,2.5,,clear
DSC05132,CS,1,S,5,,clear
DSC05133,CS,1,W,2.5,,clear
DSC05134,CS,1,W,5,,clear
DSC05135,blank,blank,blank,blank,,clear
DSC05136,CS,2,C,0,,clear
DSC05137,CS,2,N,2.5,,clear
DSC05138,CS,2,N,5,,clear
DSC05139,CS,2,E,2.5,,clear
DSC05140,CS,2,E,5,,clear
DSC05141,CS,2,S,2.5,,clear
DSC05142,CS,2,S,5,,clear
DSC05143,CS,2,W,2.5,,clear
DSC05144,CS,2,W,5,,clear
DSC05145,blank,blank,blank,blank,,clear
DSC05146,CS,3,C,0,,clear
DSC05147,CS,3,N,2.5,,clear
DSC05148,CS,3,N,5,,clear
DSC05149,CS,3,E,2.5,,clear
DSC05150,CS,3,E,5,,clear
DSC05151,CS,3,S,2.5,,clear
DSC05152,CS,3,S,5,,clear
DSC05153,CS,3,W,2.5,,clear
DSC05154,CS,3,W,5,,clear
DSC05155,blank,blank,blank,blank,,clear
DSC05156,CS,5,C,0,,clear
DSC05157,CS,5,N,2.5,,clear
DSC05158,CS,5,N,5,,clear
DSC05159,CS,5,E,2.5,,clear
DSC05160,CS,5,E,5,,clear
DSC05161,CS,5,S,2.5,,clear
DSC05162,CS,5,S,5,,clear
DSC05163,CS,5,W,2.5,,clear
DSC05164,CS,5,W,5,,clear
DSC05165,blank,blank,blank,blank,,clear
DSC05166,CS,6,C,0,,clear
DSC05167,CS,6,N,2.5,,clear
DSC05168,CS,6,N,5,,clear
DSC05169,CS,6,E,2.5,,clear
DSC05170,CS,6,E,5,,clear
DSC05171,CS,6,S,2.5,,clear
DSC05172,CS,6,S,5,,clear
DSC05173,CS,6,W,2.5,,clear
DSC05174,CS,6,W,5,,clear
DSC05175,blank,blank,blank,blank,,clear
DSC05176,CS,4,C,0,,clear
DSC05177,CS,4,N,2.5,,clear
DSC05178,CS,4,N,5,,clear
DSC05179,CS,4,E,2.5,,clear
DSC05180,CS,4,E,5,,clear
DSC05181,CS,4,S,2.5,,clear
DSC05182,CS,4,S,5,,clear
DSC05183,blank,blank,blank,blank,,clear
DSC05184,CS,4,W,2.5,,clear
DSC05185,CS,4,W,5,,clear
DSC05186,blank,blank,blank,blank,,clear
DSC05187,CS,8,C,0,,clear
DSC05188,CS,8,N,2.5,,clear
DSC05189,CS,8,N,5,,clear
DSC05190,CS,8,E,2.5,,clear
DSC05191,CS,8,E,5,,clear
DSC05192,CS,8,S,2.5,,clear
DSC05193,CS,8,S,5,,clear
DSC05194,CS,8,W,2.5,,clear
DSC05195,CS,8,W,5,,clear
DSC05197,CS,7,C,0,,clear
DSC05198,CS,7,N,2.5,,clear
DSC05199,CS,7,N,5,,clear
DSC05200,CS,7,E,2.5,,clear
DSC05201,CS,7,E,5,,clear
DSC05202,CS,7,S,2.5,,clear
DSC05203,CS,7,S,5,,clear
DSC05204,CS,7,W,2.5,,clear
DSC05205,CS,7,W,5,,clear
DSC05206,blank,blank,blank,blank,,clear
DSC05207,CS,11,C,0,,clear
DSC05208,CS,11,N,2.5,,clear
DSC05209,CS,11,N,5,,clear
DSC05210,CS,11,E,2.5,,clear
DSC05212,CS,11,E,5,,clear
DSC05213,CS,11,S,2.5,,clear
DSC05214,CS,11,S,5,,clear
DSC05215,CS,11,W,2.5,,clear
DSC05216,CS,11,W,5,,clear
DSC05217,blank,blank,blank,blank,,clear
DSC05218,CS,10,C,0,,clear
DSC05219,CS,10,N,2.5,,clear
DSC05220,CS,10,N,5,,clear
DSC05221,CS,10,E,2.5,,clear
DSC05222,CS,10,E,5,,clear
DSC05223,CS,10,S,2.5,,clear
DSC05224,CS,10,S,5,,clear
DSC05225,CS,10,W,2.5,,clear
DSC05226,CS,10,W,5,,clear
DSC05227,blank,blank,blank,blank,,clear
DSC05228,CS,9,C,0,,clear
DSC05230,CS,9,N,2.5,,clear
DSC05231,CS,9,N,5,,clear
DSC05232,CS,9,E,2.5,,clear
DSC05233,CS,9,E,5,,clear
DSC05234,CS,9,S,2.5,,clear
DSC05235,CS,9,S,5,,clear
DSC05236,CS,9,W,2.5,,clear
DSC05237,CS,9,W,5,,clear
DSC05238,blank,blank,blank,blank,,clear
DSC05239,blank,blank,blank,blank,,clear
DSC05240,DC,1,C,0,,clear
DSC05241,DC,1,N,2.5,,clear
DSC05242,DC,1,N,5,,clear
DSC05243,DC,1,E,2.5,,clear
DSC05244,DC,1,E,5,,clear
DSC05245,DC,1,S,2.5,,clear
DSC05246,DC,1,S,5,,clear
DSC05247,DC,1,W,2.5,,clear
DSC05248,DC,1,W,5,,clear
DSC05249,blank,blank,blank,blank,,clear
DSC05250,DC,2,C,0,,clear
DSC05251,DC,2,N,2.5,,clear
DSC05253,DC,2,N,5,,clear
DSC05255,DC,2,E,2.5,,clear
DSC05256,DC,2,E,5,,clear
DSC05257,DC,2,S,2.5,,clear
DSC05258,DC,2,S,5,,clear
DSC05259,DC,2,W,2.5,,clear
DSC05260,DC,2,W,5,,clear
DSC05261,DC,4,C,0,,clear
DSC05262,DC,4,N,2.5,,clear
DSC05263,DC,4,N,5,,clear
DSC05264,DC,4,E,2.5,,clear
DSC05266,DC,4,E,5,,clear
DSC05267,DC,4,S,2.5,,clear
DSC05268,DC,4,S,5,,clear
DSC05269,DC,4,W,2.5,,clear
DSC05270,DC,4,W,5,,clear
DSC05271,blank,blank,blank,blank,,clear
DSC05272,MS,7,C,0,,clear
DSC05273,MS,7,N,2.5,,clear
DSC05274,MS,7,N,5,,clear
DSC05275,MS,7,E,2.5,,clear
DSC05276,MS,7,E,5,,clear
DSC05277,MS,7,S,2.5,,clear
DSC05278,MS,7,S,5,,clear
DSC05279,MS,7,W,2.5,,clear
DSC05280,MS,7,W,5,,clear
DSC05282,blank,blank,blank,blank,,clear
DSC05283,MS,6,C,0,,clear
DSC05284,MS,6,N,2.5,,clear
DSC05285,MS,6,N,5,,clear
DSC05286,MS,6,E,2.5,,clear
DSC05287,MS,6,E,5,,clear
DSC05288,MS,6,S,2.5,,clear
DSC05289,MS,6,S,5,,clear
DSC05290,MS,6,W,2.5,,clear
DSC05291,MS,6,W,5,,clear
DSC05292,blank,blank,blank,blank,,clear
DSC05293,MS,5,C,0,,clear
DSC05294,MS,5,N,2.5,,clear
DSC05295,MS,5,N,5,,clear
DSC05296,MS,5,E,2.5,,clear
DSC05297,MS,5,E,5,,clear
DSC05298,MS,5,S,2.5,,clear
DSC05299,MS,5,S,5,,clear
DSC05300,MS,5,W,2.5,,clear
DSC05301,MS,5,W,5,,clear
DSC05302,blank,blank,blank,blank,,clear
DSC05303,MS,4,C,0,,clear
DSC05304,MS,4,N,2.5,,clear
DSC05305,MS,4,N,5,,clear
DSC05306,MS,4,E,2.5,,clear
DSC05307,MS,4,E,5,,clear
DSC05308,MS,4,S,2.5,,clear
DSC05309,MS,4,S,5,,clear
DSC05310,MS,4,W,2.5,,clear
DSC05311,MS,4,W,5,,clear
DSC05312,blank,blank,blank,blank,,clear
DSC05313,blank,blank,blank,blank,,clear
DSC05314,MS,3,C,0,,clear
DSC05315,MS,3,N,2.5,,clear
DSC05316,MS,3,N,5,,clear
DSC05317,MS,3,E,2.5,,clear
DSC05318,MS,3,E,5,,clear
DSC05319,MS,3,S,2.5,,clear
DSC05320,MS,3,S,5,,clear
DSC05321,MS,3,W,2.5,,clear
DSC05322,blank,blank,blank,blank,,clear
DSC05323,MS,2,C,0,,clear
DSC05324,MS,2,N,2.5,,clear
DSC05325,MS,2,N,5,,clear
DSC05326,MS,2,E,2.5,,clear
DSC05327,MS,2,E,5,,clear
DSC05328,MS,2,S,2.5,,clear
DSC05329,MS,2,S,5,,clear
DSC05330,MS,2,W,2.5,,clear
DSC05331,MS,2,W,5,,clear
DSC05332,blank,blank,blank,blank,,clear
DSC05333,MS,1,C,0,,clear
DSC05334,MS,1,N,2.5,,clear
DSC05335,MS,1,N,5,,clear
DSC05336,MS,1,E,2.5,,clear
DSC05337,MS,1,E,5,,clear
DSC05338,MS,1,S,2.5,,clear
DSC05339,MS,1,S,5,,clear
DSC05340,MS,1,W,2.5,,clear
DSC05341,MS,1,W,5,,clear
DSC05342,blank,blank,blank,blank,,clear
DSC05343,MS,10,C,0,,clear
DSC05344,MS,10,N,2.5,,clear
DSC05345,MS,10,N,5,,clear
DSC05346,MS,10,E,2.5,,clear
DSC05347,MS,10,E,5,,clear
DSC05348,MS,10,S,2.5,,clear
DSC05349,MS,10,S,5,,clear
DSC05350,MS,10,W,2.5,,clear
DSC05351,MS,10,W,5,,clear
DSC05352,blank,blank,blank,blank,,clear
DSC05353,MS,9,C,0,,clear
DSC05354,MS,9,N,2.5,,clear
DSC05355,MS,9,N,5,,clear
DSC05356,MS,9,E,2.5,,clear
DSC05357,MS,9,E,5,,clear
DSC05358,MS,9,S,2.5,,clear
DSC05359,MS,9,S,5,,clear
DSC05360,MS,9,W,2.5,,clear
DSC05361,MS,9,W,5,,clear
DSC05362,blank,blank,blank,blank,,clear
DSC05363,MS,8,C,0,,clear
DSC05364,MS,8,N,2.5,,clear
DSC05365,MS,8,N,5,,clear
DSC05366,MS,8,E,2.5,,clear
DSC05367,MS,8,E,5,,clear
DSC05368,MS,8,S,2.5,,clear
DSC05369,MS,8,S,5,,clear
DSC05370,MS,8,W,2.5,,clear
DSC05371,MS,8,W,5,,clear
DSC05372,blank,blank,blank,blank,,clear
DSC05373,DC,3,C,0,,clear
DSC05374,DC,3,N,2.5,,clear
DSC05375,DC,3,E,2.5,,clear
DSC05376,DC,3,E,5,,clear
DSC05377,DC,3,S,2.5,,clear
DSC05378,DC,3,S,5,,clear
DSC05379,DC,3,W,2.5,,clear
DSC05380,DC,3,W,5,,clear
DSC05381,DC,3,N,5,,clear
DSC05382,blank,blank,blank,blank,,clear
DSC05383,DC,9,C,0,,clear
DSC05384,DC,9,N,2.5,,clear
DSC05385,DC,9,N,5,,clear
DSC05386,DC,9,E,2.5,,clear
DSC05387,DC,9,E,5,,clear
DSC05388,DC,9,S,2.5,,clear
DSC05389,DC,9,S,5,,clear
DSC05390,DC,9,W,2.5,,clear
DSC05391,blank,blank,blank,blank,,clear
DSC05392,DC,8,C,0,,clear
DSC05393,DC,8,N,2.5,,clear
DSC05394,DC,8,N,5,,clear
DSC05395,DC,8,E,2.5,,clear
DSC05396,DC,8,E,5,,clear
DSC05397,DC,8,S,2.5,,clear
DSC05398,DC,8,S,5,,clear
DSC05399,DC,8,W,2.5,,clear
DSC05400,DC,8,W,5,,clear
DSC05401,blank,blank,blank,blank,,clear
DSC05402,DC,7,C,0,,clear
DSC05403,DC,7,N,2.5,,clear
DSC05404,DC,7,N,5,,clear
DSC05405,DC,7,E,2.5,,clear
DSC05406,DC,7,E,5,,clear
DSC05407,DC,7,S,2.5,,clear
DSC05408,DC,7,S,5,,clear
DSC05409,DC,7,W,2.5,,clear
DSC05410,DC,7,W,5,,clear
DSC05997,blank,blank,blank,blank,,overcast
DSC05998,HD,3,C,0,,overcast
DSC05999,HD,3,N,2.5,,overcast
DSC06000,HD,3,N,5,,overcast
DSC06001,HD,3,W,2.5,,overcast
DSC06002,HD,3,W,5,,overcast
DSC06003,HD,3,S,2.5,,overcast
DSC06004,HD,3,S,5,,overcast
DSC06005,HD,3,E,2.5,,overcast
DSC06006,HD,3,E,5,,overcast
DSC06007,HD,2,C,0,,overcast
DSC06008,HD,2,N,2.5,,overcast
DSC06009,HD,2,N,5,,overcast
DSC06010,HD,2,E,2.5,,overcast
DSC06011,HD,2,E,5,,overcast
DSC06012,HD,2,S,2.5,,overcast
DSC06013,HD,2,S,5,,overcast
DSC06014,HD,2,W,2.5,,overcast
DSC06015,HD,2,W,5,,overcast
DSC06016,blank,blank,blank,blank,,overcast
DSC06017,HD,1,C,0,,overcast
DSC06018,HD,1,N,2.5,,overcast
DSC06019,HD,1,N,5,,overcast
DSC06020,HD,1,E,2.5,,overcast
DSC06021,HD,1,E,5,,overcast
DSC06022,HD,1,S,2.5,,overcast
DSC06023,HD,1,S,5,,overcast
DSC06024,HD,1,W,2.5,,overcast
DSC06025,HD,1,W,5,,overcast
DSC06026,blank,blank,blank,blank,,overcast
DSC06027,HD,13,C,0,,overcast
DSC06028,HD,13,N,2.5,,overcast
DSC06029,HD,13,N,5,,overcast
DSC06030,HD,13,E,2.5,,overcast
DSC06031,HD,13,E,5,,overcast
DSC06032,HD,13,S,2.5,,overcast
DSC06033,HD,13,S,5,,overcast
DSC06034,HD,13,W,2.5,,overcast
DSC06035,HD,13,W,5,,overcast
DSC06036,blank,blank,blank,blank,,overcast
DSC06037,HD,12,C,0,,overcast
DSC06038,HD,12,N,2.5,,overcast
DSC06039,HD,12,N,5,,overcast
DSC06040,HD,12,E,2.5,,overcast
DSC06041,HD,12,E,5,,overcast
DSC06042,HD,12,S,2.5,,overcast
DSC06043,HD,12,S,5,,overcast
DSC06044,HD,12,W,2.5,,overcast
DSC06045,HD,12,W,5,,overcast
DSC06046,blank,blank,blank,blank,,overcast
DSC06047,HD,7,C,0,,overcast
DSC06048,HD,7,N,2.5,,overcast
DSC06049,HD,7,N,5,,overcast
DSC06050,HD,7,E,2.5,,overcast
DSC06051,HD,7,E,5,,overcast
DSC06052,HD,7,S,2.5,,overcast
DSC06053,HD,7,S,5,,overcast
DSC06054,HD,7,W,2.5,,overcast
DSC06055,HD,7,W,5,,overcast
DSC06056,HD,11,C,0,,overcast
DSC06057,HD,11,N,2.5,,overcast
DSC06058,HD,11,N,5,,overcast
DSC06059,HD,11,E,2.5,,overcast
DSC06060,HD,11,E,5,,overcast
DSC06061,HD,11,S,2.5,,overcast
DSC06062,HD,11,S,5,,overcast
DSC06063,HD,11,W,2.5,,overcast
DSC06064,HD,11,W,5,,overcast
DSC06065,blank,blank,blank,blank,,overcast
DSC06066,HD,10,C,0,,overcast
DSC06067,HD,10,N,2.5,,overcast
DSC06068,HD,10,N,5,,overcast
DSC06069,HD,10,E,2.5,,overcast
DSC06070,HD,10,E,5,,overcast
DSC06071,HD,10,S,2.5,,overcast
DSC06072,HD,10,S,5,,overcast
DSC06073,HD,10,W,2.5,,overcast
DSC06074,HD,10,W,5,,overcast
DSC06075,blank,blank,blank,blank,,overcast
DSC06076,HD,6,C,0,,overcast
DSC06077,HD,6,N,2.5,,overcast
DSC06078,HD,6,N,5,,overcast
DSC06079,HD,6,E,2.5,,overcast
DSC06080,HD,6,E,5,,overcast
DSC06081,HD,6,S,2.5,,overcast
DSC06082,HD,6,S,5,,overcast
DSC06083,HD,6,W,2.5,,overcast
DSC06084,HD,6,W,5,,overcast
DSC06085,blank,blank,blank,blank,,overcast
DSC06086,HD,8,C,0,,overcast
DSC06087,HD,8,N,2.5,,overcast
DSC06088,HD,8,N,5,,overcast
DSC06089,HD,8,E,2.5,,overcast
DSC06090,HD,8,E,5,,overcast
DSC06091,HD,8,S,2.5,,overcast
DSC06092,HD,8,S,5,,overcast
DSC06093,HD,8,W,2.5,,overcast
DSC06094,HD,8,W,5,,overcast
DSC06095,blank,blank,blank,blank,,overcast
DSC06096,HD,9,C,0,,overcast
DSC06097,HD,9,N,2.5,,overcast
DSC06098,HD,9,N,5,,overcast
DSC06099,HD,9,E,2.5,,overcast
DSC06100,HD,9,E,5,,overcast
DSC06101,HD,9,S,2.5,,overcast
DSC06102,HD,9,S,5,,overcast
DSC06103,HD,9,W,2.5,,overcast
DSC06104,HD,9,W,5,,overcast
DSC06105,HD,5,C,0,,overcast
DSC06106,HD,5,N,2.5,,overcast
DSC06107,HD,5,N,5,,overcast
DSC06108,HD,5,E,2.5,,overcast
DSC06109,HD,5,E,5,,overcast
DSC06110,HD,5,S,2.5,,overcast
DSC06111,HD,5,S,5,,overcast
DSC06112,HD,5,W,2.5,,overcast
DSC06113,HD,5,W,5,,overcast
DSC06114,blank,blank,blank,blank,,overcast
DSC06115,HD,4,C,0,,overcast
DSC06116,HD,4,N,2.5,,overcast
DSC06117,HD,4,N,5,,overcast
DSC06118,HD,4,E,2.5,,overcast
DSC06119,HD,4,E,5,,overcast
DSC06120,HD,4,S,2.5,,overcast
DSC06121,HD,4,S,5,,overcast
DSC06122,HD,4,W,2.5,,overcast
DSC06123,HD,4,W,5,,overcast
DSC06124,blank,blank,blank,blank,,overcast
DSC06125,blank,blank,blank,blank,,overcast
DSC06126,HDT,1,C,0,,overcast
DSC06127,HDT,1,N,2.5,,overcast
DSC06128,HDT,1,N,5,,overcast
DSC06129,HDT,1,E,2.5,,overcast
DSC06130,HDT,1,E,5,,overcast
DSC06131,HDT,1,S,2.5,,overcast
DSC06132,HDT,1,S,5,,overcast
DSC06133,HDT,1,W,2.5,,overcast
DSC06134,HDT,1,W,5,,overcast
DSC06135,blank,blank,blank,blank,,overcast
DSC06136,HDT,2,C,0,,overcast
DSC06137,HDT,2,N,2.5,,overcast
DSC06138,HDT,2,N,5,,overcast
DSC06139,HDT,2,E,2.5,,overcast
DSC06140,HDT,2,E,5,,overcast
DSC06141,HDT,2,S,2.5,,overcast
DSC06142,HDT,2,S,5,,overcast
DSC06143,HDT,2,W,2.5,,overcast
DSC06144,HDT,2,W,5,,overcast
DSC06145,blank,blank,blank,blank,,overcast
DSC06146,HDT,3,C,0,,overcast
DSC06147,HDT,3,N,2.5,,overcast
DSC06148,HDT,3,N,5,,overcast
DSC06149,HDT,3,E,2.5,,overcast
DSC06150,HDT,3,E,5,,overcast
DSC06151,HDT,3,S,2.5,,overcast
DSC06152,HDT,3,S,5,,overcast
DSC06153,HDT,3,W,2.5,,overcast
DSC06154,HDT,3,W,5,,overcast
DSC06155,blank,blank,blank,blank,,overcast
DSC06156,HDT,4,C,0,,overcast
DSC06157,HDT,4,N,2.5,,overcast
DSC06158,HDT,4,N,5,,overcast
DSC06159,HDT,4,E,2.5,,overcast
DSC06160,HDT,4,E,5,,overcast
DSC06161,HDT,4,S,2.5,,overcast
DSC06162,HDT,4,S,5,,overcast
DSC06163,HDT,4,W,2.5,,overcast
DSC06164,HDT,4,W,5,,overcast
DSC06165,blank,blank,blank,blank,,overcast
DSC06166,HDT,5,C,0,,overcast
DSC06167,HDT,5,N,2.5,,overcast
DSC06168,HDT,5,N,5,,overcast
DSC06169,HDT,5,E,2.5,,overcast
